BB DO 02,Dodge,Infundibular Pathway,Yes,A dose of dopamine is secreted following the success of dodging or counterattacking. MOVE (button) to choose direction.,HOLD (button) to prime dodging or counterattack. RELEASE (button) at the right time to dodge or counterattack.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Infundibular_Pathway_(BB_DO_02),
BB DO 03,Dodge,Evasive Action,No,The preparation speed for dodging an irascible animal is increased. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Evasive_Action_(BB_DO_03),
BB DO 03-2,Dodge,Infundibular Pathway,Yes,A dose of dopamine is secreted following the success of dodging or counterattacking. MOVE (button) to choose direction.,HOLD (button) to prime dodging or counterattack. RELEASE (button) at the right time to dodge or counterattack.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Infundibular_Pathway_(BB_DO_03-2),
AN 01,Intelligence,Spatial Perception,No,The range for detection of non-edible resources is increased.,TAP (button) to use your intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Spatial_Perception_(AN_01),
AN 02,Intelligence,Evaluation Speed,No,The environmental analysis speed is maximized.,TAP (button) to benefit from your enhanced intelligence liveliness. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Evaluation_Speed_(AN_02),
AN 03,Intelligence,Spatial Perception,No,The range for detection of non-edible resources is increased.,TAP (button) to use your intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Spatial_Perception_(AN_03),
AN 04,Intelligence,Spatial Perception,No,The range for detection of non-edible resources is maximized.,TAP (button) to use your intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Spatial_Perception_(AN_04),
AN 05,Intelligence,Form Recognition,No,Automatic identification of resources of the same nature close to the target is possible.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Form_Recognition_(AN_05),
AN 06,Intelligence,Form Recognition,No,Automatic identification of all resources of the same nature is possible.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Form_Recognition_(AN_06),
AN 07,Intelligence,Form Recognition,No,Automatic identification of all resources is possible.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Form_Recognition_(AN_07),
IN 01,Intelligence,Memory,No,The range for detection of non-edible resources is increased.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Memory_(IN_01),
BB IN 01,Intelligence,Long Term Memory,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Long_Term_Memory_(BB_IN_01),
BB IN 01-2,Intelligence,Long Term Memory,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Long_Term_Memory_(BB_IN_01-2),
BB IN 03,Intelligence,Wayfinding,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Wayfinding_(BB_IN_03),
BB IN 03-2,Intelligence,Wayfinding,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Wayfinding_(BB_IN_03-2),
BB IN 05,Intelligence,Orientation,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Orientation_(BB_IN_05),
BB IN 05-2,Intelligence,Orientation,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your enhanced intelligence. Then follow the steps proposed by the Contextual Actions UI.,Intelligence (neuronal branch); https://ancestors.fandom.com/wiki/Orientation_(BB_IN_05-2),
ME 01,Metabolism,Prophylactic Ability,No,The shield duration against all poisonings and injuries is longer.,,Metabolism (neuronal branch); https://ancestors.fandom.com/wiki/Prophylactic_Ability_(ME_01),
ME 02,Metabolism,Analeptic Ability,No,The recovery time from a poisoning or an injury is now faster.,,Metabolism (neuronal branch); https://ancestors.fandom.com/wiki/Analeptic_Ability_(ME_02),
BB ME 01,Metabolism,Nutrient Absorption,Yes,More energy is gained per food portion.,,Metabolism (neuronal branch); https://ancestors.fandom.com/wiki/Nutrient_Absorption_(BB_ME_01),
BB ME 02,Metabolism,Nutrient Absorption,Yes,More energy is gained per food portion.,,Metabolism (neuronal branch); https://ancestors.fandom.com/wiki/Nutrient_Absorption_(BB_ME_02),
BI 01,Motricity,Bipedalism,No,Bipedalism is now acquired.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Bipedalism_(BI_01),
MS 01,Motricity,Motor Skill,No,The ability to switch hands with an item is acquired.,TAP (button) to switch hands with an item.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Motor_Skill_(MS_01),
MS 02,Motricity,Acute Stress Response,No,Reactions for escapes and counterattacks are faster. MOVE (button) to choose direction.,HOLD (button) to prime dodging or counterattack. RELEASE (button) at the right time to dodge or counterattack.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Acute_Stress_Response_(MS_02),
WA 00,Motricity,Orthostasis & Senses,No,The ability to detect more distant elements using the Senses is acquired.,TAP (button) to use your senses. Then follow the steps proposed by the Contextual Actions UI.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Orthostasis_&_Senses_(WA_00),
WA 01,Motricity,Contextual Orthostatis,No,The ability to detect more distant elements through intelligence is acquired.,TAP (button) to use your Intelligence. Then follow the steps proposed by the Contextual Actions UI.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Contextual_Orthostatis_(WA_01),
WA 02,Motricity,Equilibrioception,No,Standing upright at will to walk a few meters is acquired. | | TAP (button) to stand upright.,Standing upright at will to walk a few meters is acquired. | TAP (button) to stand upright.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Equilibrioception_(WA_02),
WA 03,Motricity,Proprioception,No,A greater distance can be traveled while moving on two legs.,TAP (button) to stand upright.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioception_(WA_03),
WA 05,Motricity,Vestibular System,No,A greater distance can be traveled while moving on two legs.,TAP (button) to stand upright.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Vestibular_System_(WA_05),
WA 09,Motricity,Medial-Lateral Stability,No,Walking speed on two legs in shallow water is increased.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Medial-Lateral_Stability_(WA_09),
WA 11,Motricity,Postural Balance,No,Walking speed on two legs in shallow water is increased.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Postural_Balance_(WA_11),
WA 12,Motricity,Postural Balance,No,Walking speed on two legs in shallow water is maximized.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Postural_Balance_(WA_12),
BB WA 01,Motricity,Anabolism,Yes,Less energy is consumed when performing actions.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Anabolism_(BB_WA_01),
BB WA 02,Motricity,Speed,Yes,The movement speed is increased.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Speed_(BB_WA_02),
BB WA 03,Motricity,Orientation,Yes,It is possible to remember the position of one more specific location.,TAP (button) to use your Intelligence. Then follow the steps proposed by the Contextual Actions UI.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Orientation_(BB_WA_03),
BB WA 04,Motricity,Lower Body Strength,Yes,"The jump distance is increased. | | HOLD (button) to sprint, then RELEASE (button) to jump.","The jump distance is increased. | HOLD (button) to sprint, then RELEASE (button) to jump.",Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Lower_Body_Strength_(BB_WA_04),
BB WA 05,Motricity,Anabolism-Water,Yes,Walking in shallow water requires less energy.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Anabolism-Water_(BB_WA_05),
BB WA 06,Motricity,Stability Control,Yes,The ability to maintain balance when walking in shallow water is increased.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Stability_Control_(BB_WA_06),
BB WA 07,Motricity,Stability Control,Yes,The ability to maintain balance when walking in shallow water is increased.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Stability_Control_(BB_WA_07),
BB WA 08,Motricity,Upper Body Strength,Yes,A greater distance is traveled when swinging from branch to branch. | MOVE (button) to Swing when hanging in foliage.,HOLD (button) to Prime Jump. RELEASE (button) to Jump.,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Upper_Body_Strength_(BB_WA_08),
BB WA 09,Motricity,Anabolism-Water,Yes,Walking in shallow water requires less energy.,,Motricity (neuronal branch); https://ancestors.fandom.com/wiki/Anabolism-Water_(BB_WA_09),
OM 01,Omnivore,Eumycota Food Acclimatization,No,The symptoms following the ingestion of a mushroom are less severe.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Eumycota_Food_Acclimatization_(OM_01),
OM 02,Omnivore,Eumycota Food Acclimatization,No,Acclimatization to Eumycotas (mushrooms) is complete.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Eumycota_Food_Acclimatization_(OM_02),
OM 03,Omnivore,Zygote Food Acclimatization,No,The symptoms following the ingestion of an egg are less severe.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Zygote_Food_Acclimatization_(OM_03),
OM 04,Omnivore,Zygote Food Acclimatization,No,Acclimatization to Zygotes (eggs) is complete.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Zygote_Food_Acclimatization_(OM_04),
OM 05,Omnivore,Oviparous Food Acclimatization,No,The symptoms following the ingestion of meat from Oviparous are less severe.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Oviparous_Food_Acclimatization_(OM_05),
OM 06,Omnivore,Oviparous Food Acclimatization,No,Acclimatization to meat from Oviparous is complete.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Oviparous_Food_Acclimatization_(OM_06),
OM 07,Omnivore,Mammal Food Acclimatization,No,The symptoms following the ingestion of meat from mammals are less severe.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Mammal_Food_Acclimatization_(OM_07),
OM 08,Omnivore,Mammal Food Acclimatization,No,Acclimatization to meat from mammals is complete.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Mammal_Food_Acclimatization_(OM_08),
OM 09,Omnivore,Omnivorous,No,Every serving of food consumed provides more energy.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Omnivorous_(OM_09),
BB OM 01,Omnivore,Xenobiotic Metabolism,Yes,The elements used to eliminate food poisoning are more effective.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_OM_01),
BB OM 02,Omnivore,Xenobiotic Metabolism,Yes,The elements used to fight food poisonings are more effective.,,Omnivore (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_OM_02),
CC 01,Orrorin Tugenensis,Cognitive Control,No,It is now possible to control emotions and voluntarily choose to be Vigilant or Alert.,HOLD (button) or (button) to set your state of mind.,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Cognitive_Control_(CC_01),
CC 02,Orrorin Tugenensis,Attentional Control,No,Venturing into an unknown area causes less fear.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Attentional_Control_(CC_02),
DP 01,Orrorin Tugenensis,Mesocortical Pathway,No,The ability to synthesize neurotransmitters has increased. | More Dopamine can be accumulated.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Mesocortical_Pathway_(DP_01),
DP 02,Orrorin Tugenensis,Dopaminergic Pathways,No,More dopamine is generated following displays of physical prowess.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_02),
DP 03,Orrorin Tugenensis,Dopaminergic Pathways,No,More dopamine is generated following social interactions.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_03),
DP 04,Orrorin Tugenensis,Dopaminergic Pathways,No,More dopamine is generated after discoveries or after creating and using a tool.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Dopaminergic_Pathways_(DP_04),
LF 01,Orrorin Tugenensis,Life Expectancy,No,Life expectancy has increased. | More stamina and energy can be accumulated.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Life_Expectancy_(LF_01),
NP 01,Orrorin Tugenensis,Encephalization,No,Brain size has increased. | More Neuronal Energy can be accumulated.,,Orrorin Tugenensis (neuronal branch); https://ancestors.fandom.com/wiki/Encephalization_(NP_01),
SB 01,Preventive Medication,Laceration Prevention,No,The protection against hemorrhages lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Laceration_Prevention_(SB_01),
SB 02,Preventive Medication,External Clotting Efficiency,No,The protection against haemorrhages lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/External_Clotting_Efficiency_(SB_02),
SB 03,Preventive Medication,External Clotting Efficiency,No,The duration of a full protection against haemorrhages is maximized.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/External_Clotting_Efficiency_(SB_03),
SB 04,Preventive Medication,Bleeding Resistance,No,One item with clotting properties is now enough to get full protection against haemorrhages.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Bleeding_Resistance_(SB_04),
SB 05,Preventive Medication,Bleeding Resistance,No,The protection against hemorrhages lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Bleeding_Resistance_(SB_05),
SI 01,Preventive Medication,Analgesia,No,The protection against injuries lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Analgesia_(SI_01),
SI 02,Preventive Medication,Trauma Prevention,No,The protection against injuries lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Prevention_(SI_02),
SI 03,Preventive Medication,Trauma Prevention,No,The protection against injuries lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Prevention_(SI_03),
SI 04,Preventive Medication,Trauma Prevention,No,The duration of a protection against injuries is maximized.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Prevention_(SI_04),
SI 05,Preventive Medication,Trauma Resistance,No,One item with mending properties is now enough for a full protection against injuries.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Resistance_(SI_05),
SI 06,Preventive Medication,Trauma Resistance,No,The symptoms of injuries are greatly diminished.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Resistance_(SI_06),
ST 01,Preventive Medication,Toxin Immunity,No,The protection against intoxication is longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Toxin_Immunity_(ST_01),
ST 02,Preventive Medication,Venom Tolerance,No,The protection against venom poisoning is longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Tolerance_(ST_02),
ST 03,Preventive Medication,Venom Tolerance,No,The protection against venom poisoning is longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Tolerance_(ST_03),
ST 04,Preventive Medication,Venom Tolerance,No,The protection against venom poisoning is maximized.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Tolerance_(ST_04),
ST 05,Preventive Medication,Venom Resistance,No,One item with curative properties is now enough for a full venom protection.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Resistance_(ST_05),
ST 06,Preventive Medication,Venom Resistance,No,The symptoms of venom poisoning are greatly diminished.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Resistance_(ST_06),
ST 07,Preventive Medication,Food Poisoning Tolerance,No,The protection against food poisonings lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poisoning_Tolerance_(ST_07),
ST 08,Preventive Medication,Food Poisoning Tolerance,No,The protection against food poisonings lasts longer.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poisoning_Tolerance_(ST_08),
ST 09,Preventive Medication,Food Poisoning Tolerance,No,The duration of the food poisonings' protection is maximized.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poisoning_Tolerance_(ST_09),
ST 10,Preventive Medication,Food Poisoning Resistance,No,One item with curative properties is now enough to get full protection against food poisonings.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poisoning_Resistance_(ST_10),
ST 11,Preventive Medication,Food Poisoning Resistance,No,The symptoms of food poisoning are greatly diminished.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poisoning_Resistance_(ST_11),
BB SB 01,Preventive Medication,Vitamin K Efficiency,Yes,Getting a full protection against hemorrhages requires fewer items with clotting properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Vitamin_K_Efficiency_(BB_SB_01),
BB SB 02,Preventive Medication,Vitamin K Efficiency,Yes,Getting a full protection against hemorrhages requires fewer items with clotting properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Vitamin_K_Efficiency_(BB_SB_02),
BB SI 01,Preventive Medication,Endorphins Efficiency,Yes,Having a full protection against injuries requires fewer items with mending properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Endorphins_Efficiency_(BB_SI_01),
BB SI 02,Preventive Medication,Endorphins Efficiency,Yes,Having a full protection against injuries requires fewer items with mending properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Endorphins_Efficiency_(BB_SI_02),
BB ST 01,Preventive Medication,Xenobiotic Resistance,Yes,Getting a full protection against venom poisonnings required fewer items with curative properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Resistance_(BB_ST_01),
BB ST 02,Preventive Medication,Xenobiotic Resistance,Yes,Getting a full protection against food poisoning requires fewer items with curative properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Resistance_(BB_ST_02),
BB ST 03,Preventive Medication,Xenobiotic Metabolism,Yes,Getting a full protection against venom poisonnings required fewer items with curative properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_ST_03),
BB ST 04,Preventive Medication,Xenobiotic Metabolism,Yes,Getting a full protection against food poisoning requires fewer items with curative properties.,,Preventive Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_ST_04),
FR 01,Self-Control,Tachypsychia,No,The margin of error is increased during attacks because more time is allowed.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Tachypsychia_(FR_01),
FR 02,Self-Control,Temporal Distortion,No,The margin of error is increased during attacks because more time is allowed.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Temporal_Distortion_(FR_02),
FR 03,Self-Control,Temporal Distortion,No,The margin of error is increased during attacks because more time is allowed.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Temporal_Distortion_(FR_03),
FR 04,Self-Control,Temporal Distortion,No,The margin of error during attacks is maximized because more time is allowed.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Temporal_Distortion_(FR_04),
FR 05,Self-Control,Perceptual Time Dilation,No,Reactions when responding to a threat are faster.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Perceptual_Time_Dilation_(FR_05),
FR 06,Self-Control,Internal Process Speed,No,Reactions when facing a predator are faster.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Internal_Process_Speed_(FR_06),
FR 07,Self-Control,Internal Process Speed,No,Reactions when facing an irascible animal are faster.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Internal_Process_Speed_(FR_07),
FR 08,Self-Control,Internal Process Speed,No,Reactions when facing a wildlife animal are faster.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Internal_Process_Speed_(FR_08),
BB FR 01,Self-Control,Determination,Yes,Less Dopamine is needed when responding to a threat.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Determination_(BB_FR_01),
BB FR 02,Self-Control,Determination,Yes,Less Dopamine is needed when responding to a threat.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Determination_(BB_FR_02),
BB FR 03,Self-Control,Determination,Yes,Less Dopamine is needed when responding to a threat.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Determination_(BB_FR_03),
BB FR 04,Self-Control,Determination,Yes,Less Dopamine is needed when responding to a threat.,,Self-Control (neuronal branch); https://ancestors.fandom.com/wiki/Determination_(BB_FR_04),
SE 01,Senses,Perception,No,The range for detection of odors and sounds is slightly increased.,TAP (button) to use your senses. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Perception_(SE_01),
SO 01,Senses,Olfaction,No,The range for detection of the source of an odor is increased.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Olfaction_(SO_01),
SO 02,Senses,Chemoreceptor Acuity,No,The range for detection of the source of an odor is increased.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Chemoreceptor_Acuity_(SO_02),
SO 03,Senses,Threat Localization,No,The range for detection of the source of an odor is increased.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Threat_Localization_(SO_03),
SO 04,Senses,Threat Localization,No,The range for detection of a threatening odor is maximized.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Threat_Localization_(SO_04),
SO 05,Senses,Sensory Transduction Speed,No,The speed of concentration on a menacing smell is maximized.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sensory_Transduction_Speed_(SO_05),
SO 06,Senses,Odorant Identification,No,The range for detection of a non-threatening odor is increased.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Identification_(SO_06),
SO 07,Senses,Odorant Identification,No,The range for detection of a non-threatening odor is maximized.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Identification_(SO_07),
SO 08,Senses,Sensory Transduction Speed,No,The ability to quickly concentrate on a non-threatening odor is maximized.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sensory_Transduction_Speed_(SO_08),
SO 09,Senses,Odorant Chemotopy,No,Automatic identification of non-threatening smells of the same species near the target is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Chemotopy_(SO_09),
SO 10,Senses,Odorant Chemotopy,No,The width of automatic identification for non-threatening odors from the same species is increased.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Chemotopy_(SO_10),
SO 11,Senses,Odorant Chemotopy,No,Automatic identification of all non-threatening odors of the same species is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Chemotopy_(SO_11),
SO 12,Senses,Odorant Chemotopy,No,Automatic identification of all non-threatening odors is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Odorant_Chemotopy_(SO_12),
SO 13,Senses,Threat Chemotopy,No,Automatic identification of other menacing odors of the same species near the target is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Threat_Chemotopy_(SO_13),
SO 14,Senses,Threat Chemotopy,No,Automatic identification of all threatening odors of the same species is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Threat_Chemotopy_(SO_14),
SO 15,Senses,Threat Chemotopy,No,Automatic identification of all threatening odors is possible.,TAP (button) to use your senses. Choose the Sense Of Smell then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Threat_Chemotopy_(SO_15),
SS 01,Senses,Sound Localization,No,The range for detection of a sound source is increased.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Localization_(SS_01),
SS 02,Senses,Interaural Time Difference,No,The range for detection of a sound source is increased.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Interaural_Time_Difference_(SS_02),
SS 03,Senses,Interaural Time Difference,No,The range for detection of a sound source is increased.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Interaural_Time_Difference_(SS_03),
SS 04,Senses,Interaural Time Difference,No,The range for detection of a sound source is maximized.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Interaural_Time_Difference_(SS_04),
SS 05,Senses,Sound Localization Speed,No,The ability to quickly concentrate on a sound is maximized.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Localization_Speed_(SS_05),
SS 06,Senses,Sound Detection,No,Automatic identification of other non-threatening individuals of the same species near the target is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Detection_(SS_06),
SS 07,Senses,Sound Detection,No,Automatic identification of all non-threatening individuals of the same species is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Detection_(SS_07),
SS 08,Senses,Sound Detection,No,Automatic identification of all non-threatening individuals is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Detection_(SS_08),
SS 09,Senses,Sound Localization Speed,No,The ability to quickly concentrate on a sound is maximized.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Localization_Speed_(SS_09),
