name,type,subtype,environment_tags,movement,special_abilities,cr
Cephalophore,construct,,any,walk:20,dazing gaze (su);dazing strike (su);shatter weapon (ex);statue form (ex);dazing gaze,8.0
Ceratioidi,monstrous humanoid,aquatic,any saltwater,walk:30;swim:50,dual mind (ex);lure (su);primitive amphibian (ex);lure,3.0
Cerberi,outsider,evil; extraplanar; lawful,any,walk:40,s jaws (su);soul scent (su);rend,6.0
Cerebric Fungus,plant,,any,walk:30,otherworldly mind (ex);touch of madness (sp);unsettling appearance (su);pull;star-shriek,3.0
Cernunnos,outsider,azata; chaotic; extraplanar; good,any forest;plain,walk:40;fly:60,greater slaying arrow (su);charge (ex);lightning rod (su);perfect archer (ex);primal aura (su);unbound (su);greater slaying arrow;horned lord's charge;powerful charge;wild shape,30.0
Cetaceal,outsider,agathion; aquatic; extraplanar; good,any water,walk:10;swim:80,protective aura (su);shockwave (su);stun (ex);shockwave;push,15.0
Ceustodaemon,outsider,daemon; evil; extraplanar,any,walk:30,drawn to service (su);breath weapon,6.0
Chaneque,fey,mythic,any forests,walk:20;climb:20;fly:60,steal soul (su);mythic power;steal soul,1.0
Changeling,humanoid,changeling,any,walk:30,hexes,0.5
Chaos Beast,outsider,chaotic; extraplanar,any,walk:20,corporeal instability (su);resistant to transformation (ex),7.0
Charda,monstrous humanoid,aquatic,cold aquatic;underground,walk:20;swim:60,black bile (su);cold vigor (ex);overwhelming (ex);black bile,7.0
Charybdis,aberration,aquatic,any oceans,walk:20;swim:50,rending claws (ex);vortex (su);fast swallow;rending claws;swallow whole;vortex,13.0
Cheetah,animal,,warm plains,walk:50,sprint (ex),2.0
Chernobue,outsider,chaotic; evil; extraplanar; qlippoth,any,walk:40,aura of misfortune (su);horrific appearance (su);light vulnerability (ex);poison (su);horrific appearance,12.0
Chimera,magical beast,,temperate hills,walk:30;fly:50,breath weapon (su);breath weapon,7.0
Choker,aberration,,any underground,walk:20;climb:10,grab (ex);strangle (ex);quickness (su);constrict;grab;strangle,2.0
Chupacabra,magical beast,,warm hills;plains,walk:30,chupar (ex);chupar;pounce,3.0
Chuul,aberration,aquatic,temperate swamps,walk:30;swim:20,paralytic tentacles (ex);constrict;paralytic tentacles,7.0
Clay Golem,construct,,any,walk:20,berserk (ex);cursed wound (ex);haste (su);immunity to magic (ex);berserk;haste,10.0
Cliff Giant,humanoid,giant,temperate;warm deserts;plains,walk:40,earth attunement (su);rock throwing,9.0
Cloaker,aberration,,underground,walk:10;fly:40,engulf (ex);moan (ex);shadow shift (su);engulf;moan,5.0
Clockwork Dragon,construct,clockwork,any land,walk:60;fly:100;swim:60,adamantine weapons (ex);efficient winding (ex);adamantine weapons;breath weapon;self-destruction,16.0
Clockwork Golem,construct,,any,walk:30,death burst (ex);grind (ex);immunity to magic (ex);wall of gears (su);death burst;grind;wall of gears,12.0
Clockwork Goliath,construct,clockwork,any,walk:40,cannon (ex);self-destruction;trample,19.0
Clockwork Leviathan,construct,clockwork,any,walk:30;swim:60,breath weapon (su);grind (ex);swallow whole (ex);breath weapon;grind;swallow whole,12.0
Clockwork Mage,construct,clockwork,any land,walk:30,wand magic (su);wand magic,9.0
Clockwork Servant,construct,clockwork,any,walk:30,net (ex);repair clockwork (ex),2.0
Clockwork Soldier,construct,clockwork,any,walk:30,efficient winding (ex);latch (ex);proficient (ex);standby (ex);latch,6.0
Clockwork Spy,construct,clockwork,any,walk:30;fly:30,record audio (su);record audio;self-destruct,0.5
Clockwork Steed,construct,clockwork,any land,walk:50,powerful kick (ex);powerful kick;trample,6.0
Cloud Giant,humanoid,giant,temperate mountains,walk:50,oversized weapon (ex);rock throwing,11.0
Cockatrice,magical beast,,temperate plains,walk:20;fly:60,petrification (su),3.0
Cockroach Swarm,vermin,swarm,any temperate;warm;urban,walk:20;climb:20;fly:30,distraction,2.0
Cold Rider,fey,cold,any cold,walk:30,icewalking (ex);implements of ice (su);susceptible to shatter (ex),8.0
Colour Out Of Space,ooze,incorporeal,any,walk:30;fly:50,aura of lassitude (su);disintegrating touch (su);feed (su);susceptible to force effects (ex);feed,10.0
Coloxus,outsider,chaotic; demon; evil; extraplanar,urban,walk:30;fly:60,droning wings (ex);siphon (su);droning wings;siphon;sneak attack +4d6,12.0
Comozant Wyrd,outsider,air; elemental; extraplanar; incorporeal,any oceans,walk:20;fly:30,illuminating flames (su);lightning lash (su);plasma form (ex);lightning lash,4.0
Compsognathus,animal,,temperate;warm forests;plains,walk:40;swim:20,poison (ex),0.5
Constrictor Snake,animal,,warm forests;swamps;fresh water,walk:20;climb:20;swim:20,constrict,2.0
Contemplative,monstrous humanoid,,any urban,walk:5;fly:30,,2.0
Contract Devil,outsider,devil; evil; extraplanar; lawful,any,walk:30,binding contract (su);impale (ex);infernal contract (su);infernal investment (su);binding contract;bleed;impale,10.0
Coral Golem,construct,,warm oceans;coastlines,walk:30,aquatic reconstruction (ex);immunity to magic (ex);bleed,9.0
Couatl,outsider,native,warm forests,walk:20;fly:60,poison (ex);constrict,10.0
Crab Swarm,vermin,aquatic; swarm,any aquatic,walk:30;swim:20,distraction,4.0
Crag Linnorm,dragon,,cold hills,walk:40;fly:100;swim:60,breath weapon (su);death curse (su);freedom of movement (ex);poison (su);true seeing (ex);breath weapon;constrict;death curse,14.0
Crawling Hand,undead,,any land,walk:40;climb:40,grab (ex);mark quarry;strangle,0.5
Criosphinx,magical beast,,warm deserts;hills,walk:30;fly:60,swooping charge (ex);swooping charge,7.0
Crocodile,animal,,warm rivers;marshes,walk:20;swim:30,death roll (ex);hold breath (ex);sprint (ex);death roll,2.0
Crucidaemon,outsider,daemon; evil; extraplanar,any,walk:50,chained daggers (su);trap making (ex);bleed;chained daggers;trap making,15.0
Crypt Thing,undead,,any underground,walk:30,teleporting burst (su);teleporting burst,5.0
Crysmal,outsider,earth; elemental,any underground,walk:30;burrow:20,crystal sense (sp);shard spike (ex);shard spike +7,3.0
Cthulhu,aberration,chaotic; evil; great old one,any,walk:60;fly:200;swim:60,cleaving claws (ex);dreams of madness (su);greater starflight (su);immortality (ex);tentacles (ex);unspeakable presence (su);cleaving claws;constrict;dreams of madness;mythic power;powerful blows;tentacles;trample,30.0
Cyclops,humanoid,giant,any temperate;tropical,walk:30,flash of insight (su),5.0
Cythnigot,outsider,chaotic; evil; extraplanar; qlippoth,any,walk:40;fly:60,horrific appearance (su);spores (su);horrific appearance,2.0
D'ziriak,outsider,extraplanar,any land,walk:30,dazzling burst (su);glow (ex);dazzling burst,3.0
Dagon,outsider,chaotic; demon; evil; extraplanar; water,any oceans,walk:40;swim:120,breath weapon (su);command aquatic creature (su);poison (ex);transformation (su);breath weapon;command aquatic creature;constrict;fast swallow;poison;swallow whole,28.0
Dandasuka,outsider,native; rakshasa; shapechanger,any,walk:30;climb:20,bleed 1d4;detect thoughts;sneak attack +1d6,5.0
Dark Caller,humanoid,dark folk,any underground,walk:30,death throes (su);shadow ritual (su);death throes;sneak attack +2d6,5.0
Dark Creeper,humanoid,dark folk,any underground,walk:30,death throes (su);poison use (ex);rag armor (ex);see in darkness (su);death throes;sneak attack,2.0
Dark Dancer,humanoid,dark folk,any underground,walk:30,bardic performance (su);dark curse (su);death throes (su);bardic performance;dark curse;death throes;sneak attack +1d6,1.0
Dark Naga,aberration,,any underground,walk:40,detect thoughts (su);guarded thoughts (ex);poison (ex),8.0
Dark Slayer,humanoid,dark folk,any underground,walk:30,death throes (su);magical knack (ex);soul harvest (su);death throes;poison use;sneak attack +2d6;soul harvest,3.0
Dark Stalker,humanoid,dark folk,any underground,walk:30,death throes (su);poison use (ex);see in darkness (su);death throes;sneak attack,4.0
Darkmantle,magical beast,,any underground,walk:20;fly:30,constrict;grab,1.0
Deadfall Scorpion,vermin,,temperate forests,walk:50,poison (ex);sudden strike (ex);constrict;sudden strike,8.0
Death Dog,magical beast,,warm deserts,walk:30,disease (su);disease,2.0
Death Worm,magical beast,,warm deserts;plains;hills,walk:20;burrow:20,corrosive blood (ex);electrical jolt (su);poison (ex);venomous skin (ex);breath weapon,6.0
Death's Head Jellyfish,vermin,aquatic,any oceans,swim:20,poison (ex),1.0
Deathtrap Ooze,ooze,shapechanger,any underground,walk:20;climb:20,acid (ex);trap form (su);constrict,8.0
Deathweb,undead,,any,walk:30;climb:20,poison (ex);infestation (su);web,6.0
Decapus,aberration,,temperate forests;underground,walk:10;climb:30,tentacles (ex);constrict,4.0
Deep Sea Serpent,magical beast,aquatic,any oceans,walk:10;swim:50,elusive (su);powerful tail (ex);surge (ex);capsize;constrict;powerful tail;swallow whole,19.0
Deinonychus,animal,,warm forests,walk:60,pounce,3.0
Demilich,undead,,any,fly:30,devour soul (su);greater bestow curse (sp);immunity to magic (su);rejuvenation (su);telekinetic storm (su);torpor (ex);unholy grace (su);vorpal susceptibility (ex);devour soul,14.0
Denizen of Leng,outsider,chaotic; evil; extraplanar,any land,walk:40,dexterity drain (su);planar fast healing (su);unusual anatomy (ex);sneak attack +5d6,8.0
Derghodaemon,outsider,daemon; evil; extraplanar,any,walk:40,feeblemind aura (su);swarmwalking (su);rend,12.0
Derhii,monstrous humanoid,,warm forests;mountains,walk:30;climb:30;fly:60,aerial charge (ex);booming voice (ex);knockdown (ex);aerial charge;knockdown,5.0
Derro,humanoid,derro,any underground,walk:20,madness (ex);poison use (ex);vulnerability to sunlight (ex);sneak attack +1d6,3.0
Desert Drake,dragon,earth,warm deserts,walk:30;burrow:20;fly:60,dazzling emergence (ex);sandstorm breath (su);savage bite (ex);speed surge (ex);dazzling emergence;push;sandstorm breath;savage bite,8.0
Desert Giant,humanoid,giant,warm desert,walk:50,sandwalking (ex);scimitar training (ex);rock throwing;scimitar training,9.0
Destrachan,aberration,,underground,walk:30,destructive harmonics (su);protection from sonics (ex);destructive harmonics,8.0
"Devil, Handmaiden",outsider,devil; evil; extraplanar; lawful,any,walk:40;fly:60,agile grappler (ex);tentacle cage (su);tentacle cage,14.0
Devilbound Sorcerer,female pit fiend-bound human sorcerer 13 humanoid,human,any urban,walk:30,,13.0
Devilfish,magical beast,aquatic,any aquatic,walk:10;swim:40,poison (ex);savage bite (ex);unholy blood (su);water dependency (ex);savage bite;unholy blood,4.0
Devourer,undead,extraplanar,any,walk:30;fly:20,devour soul (su);spell deflection (su);devour soul;energy drain,11.0
Dhampir,humanoid,dhampir,any land,walk:30,resist level drain (ex),0.5
Dimetrodon,animal,,warm forests,walk:30,tearing bite (ex);tearing bite,3.0
Dimorphodon,animal,,warm coasts;forests,walk:10;fly:30,poison (ex);poison,1.0
Diplodocus,animal,,warm plains,walk:30,tail lash (ex);trample,12.0
Dire Ape,animal,,warm forests,walk:30;climb:30,rend,3.0
Dire Bat,animal,,any temperate;tropical,walk:20;fly:40,,2.0
Dire Bear,animal,,cold forests,walk:40,,7.0
Dire Boar,animal,,temperate;tropical forests,walk:40,,4.0
Dire Corby,monstrous humanoid,,any underground,walk:30;climb:30,leap (ex);leap;rend,1.0
Dire Crocodile,animal,,warm rivers;marshes,walk:20;swim:30,death roll;swallow whole,9.0
Dire Hyena,animal,,warm plains,walk:50,,3.0
Dire Lion,animal,,warm plains;hills,walk:40,pounce;rake,5.0
Dire Rat,animal,,any urban,walk:40;climb:20;swim:20,disease (ex);disease,0.3333333333333333
Dire Shark (Megalodon),animal,aquatic,any ocean,swim:60,swallow whole,9.0
Dire Tiger,animal,,any forests;plains;swamps,walk:40,pounce;rake,8.0
Dire Weasel,animal,,any land,walk:40,blood drain;blood rage;grab,3.0
Dire Wolf,animal,,cold;temperate forests,walk:50,,3.0
Dire Wolverine,animal,,cold forests,walk:30;climb:10,rage (ex);rage,4.0
Disenchanter,magical beast,,warm land,walk:50,disenchant (ex);power spray (su);vulnerable to dispel magic (ex);power spray,3.0
Divine Guardian Hydra,magical beast,air; water,temperate ruins,walk:40;fly:40;swim:40,pounce,5.0
Djinni,outsider,air; extraplanar,any,walk:20;fly:60,air mastery (ex);air mastery;whirlwind,5.0
Dodo,animal,,temperate;warm islands,walk:20,,0.25
Dog,animal,,any,walk:40,,0.3333333333333333
Dolphin,animal,,any ocean,swim:80,hold breath (ex),0.5
Doppelganger,monstrous humanoid,shapechanger,any,walk:30,mimicry (ex);perfect copy (su),3.0
Doru,outsider,div; evil; extraplanar,any,walk:20;fly:40,poison (ex),2.0
Dorvae,outsider,evil,any,walk:30;fly:60,writhing snakes (ex);dorvae poison (su);writhing snakes,11.0
Dossenus,aberration,,any underground,walk:30;burrow:30;climb:30,burrow (ex);devastating maw (ex);hydrophobia (ex);swarming (ex);devastating maw;sneak attack +1d6;swarming,1.0
Dracolisk,dragon,,temperate swamp;underground,walk:20;fly:40,breath weapon;gaze,7.0
Draconal,outsider,agathion; extraplanar; good,any air,walk:40;fly:120,celestial focus (ex);divine insight (su);protective aura (su);breath weapon,20.0
Dragon Horse,magical beast,air,any,walk:60;fly:120,breath weapons (su);flying charge (ex);know alignment (su);shift planes (su);breath weapons;flying charge space 10 ft.;reach 10 ft.,9.0
Dragon Turtle,dragon,aquatic,temperate aquatic,walk:20;swim:30,breath weapon (su);capsize (ex);breath weapon;capsize,9.0
Dragonne,magical beast,,temperate deserts,walk:40;fly:30,roar (su);roar;pounce,7.0
Drakainia,aberration,mythic,any,walk:50;climb:30;swim:30,birth spawn (ex);gestation aura (su);impregnate surrogate (su);invert birth (su);polymorphism (ex);razor claws (ex);transfer suffering (su);well of life (su);impregnate surrogate;mythic power;razor claws;well of life,25.0
Draugr,undead,water,any coastal,walk:30;swim:30,nausea (su),2.0
Dretch,outsider,chaotic; demon; evil; extraplanar,any,walk:20,,2.0
Drider,aberration,,any underground,walk:30;climb:20,poison (ex);undersized weapons (ex);web,7.0
Drow,humanoid,elf,underground,walk:30,poison use (ex),0.3333333333333333
Drow Noble,humanoid,elf,underground,walk:20,poison use (ex);bleeding touch;channel negative energy;touch of chaos,3.0
Drowning Devil,outsider,devil; evil; extraplanar; lawful,any,walk:30;fly:30;swim:40,drown (su);heavy aura (su);poison (ex);drown;poison,8.0
Dryad,fey,,temperate forests,walk:30,tree meld (su);tree dependent (su);wild empathy (su);woodcraft (ex),3.0
Duergar,humanoid,dwarf,any underground,walk:20,,0.3333333333333333
Dullahan,undead,,any,walk:30,chilling blade (su);calling (su);summon mount (su);chilling blade;death's calling;summon mount,7.0
Dust Digger,aberration,,warm deserts,walk:10;burrow:20,sinkhole (ex);sinkhole;swallow whole,4.0
Dybbuk,undead,incorporeal,any,fly:60,malevolence (su);pain touch (su);possess object (su);malevolence,15.0
Eagle,animal,,temperate mountains,walk:10;fly:80,,0.5
Ecorche,undead,,any land,walk:30,seize skin (su);bleed;rend,16.0
Ectoplasmic Human,undead,,any,walk:30,horrifying ooze (su);phase lurch (su);horrifying ooze,0.5
Efreeti,outsider,extraplanar; fire,any,walk:20;fly:40,change size (sp);heat (ex);change size;heat,8.0
Einherji,outsider,extraplanar,any,walk:30,trained (ex);challenge of single combat (ex);thirst for battle (su);challenge of single combat,10.0
Elasmosaurus,animal,,warm aquatic,walk:20;swim:50,,7.0
Elder Air Elemental,outsider,air; elemental; extraplanar,plane of air,fly:100,air mastery (ex);whirlwind,11.0
Elder Earth Elemental,outsider,earth; elemental; extraplanar,any,walk:20;burrow:20,earth glide (ex);earth mastery (ex);earth mastery,11.0
Elder Fire Elemental,outsider,elemental; extraplanar; fire,any,walk:60,burn,11.0
Elder Ice Elemental,outsider,air; cold; elemental; extraplanar; water,any land;water,walk:20;burrow:20;swim:60,ice glide (su);icewalking (ex);numbing cold (su);snow vision (ex);numbing cold,11.0
Elder Lightning Elemental,outsider,air; elemental; extraplanar,any,fly:100,metal mastery (ex);spark leap (ex);metal mastery;spark leap,11.0
Elder Magma Elemental,outsider,earth; elemental; extraplanar; fire,any,walk:20;burrow:20,burn (ex);earth glide (ex);lava puddle (su);burn;lava puddle,11.0
Elder Mud Elemental,outsider,earth; elemental; extraplanar; water,any land;water,walk:20;burrow:10;swim:30,earth glide (ex);entrap (ex);entrap,11.0
Elder Thing,aberration,aquatic,any,walk:30;fly:20;swim:40,hibernation (ex);limited starflight (ex);constrict,5.0
Elder Water Elemental,outsider,elemental; extraplanar; water,any,walk:20;swim:90,drench (ex);vortex (su);water mastery (ex);drench;vortex;water mastery,11.0
Electric Eel,animal,,warm fresh water,walk:5;swim:30,electricity (ex),2.0
Elephant,animal,,warm plains,walk:40,trample,7.0
Elk,animal,,cold;temperate plains,walk:50,,1.0
Elohim,outsider,extraplanar; mythic,any,walk:60;fly:60;swim:30,create life (su);natural spellcasting (su);breath weapon;constrict;mythic magic;mythic power,23.0
Elysian Titan,outsider,chaotic; extraplanar; good,any land,walk:60,trample,21.0
Emperor Cobra,animal,,temperate;warm swamps,walk:30;climb:30;swim:30,poison (ex),5.0
Emperor Walrus,animal,,cold oceans,walk:20;swim:60,,8.0
Eremite,outsider,evil; extraplanar; kyton; lawful,any,walk:40;fly:60,immune to pain (su);evisceration (ex);graft flesh (su);pain (su);shadow traveler (ex);unnerving gaze (ex);evisceration;unnerving gaze,20.0
Erinyes Devil,outsider,devil; evil; extraplanar; lawful,any,walk:30;fly:50,entangle (su),8.0
Erlking,fey,,temperate forests,walk:70;fly:90,ironwood mastery (su);warrior fey (ex);bleed;favored enemy;ironwood mastery,18.0
Ettercap,aberration,,temperate forests,walk:30;climb:30,poison (ex);spider empathy (ex);traps (ex);traps;web,3.0
Ettin,humanoid,giant,cold hills,walk:40,weapon fighting (ex);superior two-weapon fighting,6.0
Executioner's Hood,aberration,,any underground,walk:10;climb:5,engulfing drop (ex);strangle (ex);susceptible to alcohol (ex);constrict;engulfing drop;strangle,2.0
Faceless Stalker,aberration,shapechanger,any swamps;underground,walk:30,change shape (su);faceless (su);blood drain;sneak attack +2d6,4.0
Fachen,aberration,,temperate hills;plains,walk:30,fear (su);incredible balance (ex),5.0
Faerie Dragon,dragon,,temperate;warm forests,walk:10;fly:60;swim:30,breath weapon (su);breath weapon,2.0
Faun,fey,,temperate forests,walk:30,panpipes (su);panpipes,1.0
Festering Spirit,undead,incorporeal,any land;underground,fly:40,create spawn (su);ghost touch (su);slime (su);trample (ex);create spawn;slime;trample,8.0
Festrog,undead,,any land,walk:30,charging trip (ex);diseased pustules (ex);feed (su);run (ex);charging trip;diseased pustules;feed,1.0
Fetchling,outsider,native,any,walk:30,shadow blending (su);sneak attack +1d6,0.5
Fey Giant Toad,fey,,temperate forests;plains;swamps,walk:30;fly:45;swim:15,poison skin (ex);swallow whole,3.0
Fire Beetle,vermin,,any,walk:30;fly:30,luminescence (ex),0.3333333333333333
Fire Giant,humanoid,fire; giant,warm mountains,walk:40,heated rock (su);heated rock;rock throwing,10.0
Fire Yai,outsider,fire; giant; native; oni; shapechanger,temperate;warm hills;mountains,walk:40;fly:60,fiery missile (su);smoke form (sp);burn;smoke form,15.0
Fjord Linnorm,dragon,aquatic,cold mountainous coastlines,walk:30;fly:100;swim:60,breath weapon (su);death curse (su);poison (ex);breath weapon;constrict;death curse,16.0
Flail Snail,magical beast,,underground,walk:10;climb:10,mucus (ex);retraction (ex);slime rope (ex);suction (ex);warp magic (su),4.0
Flame Drake,dragon,fire,temperate mountains;hills,walk:20;fly:60,fireball breath (su);speed surge (ex);fireball breath,5.0
Flesh Colossus,construct,colossus; mythic,any land,walk:60,alternate form (ex);selective antimagic aura (su);constrict;mythic power;mythic quickening;pinning stomp,16.0
Flesh Golem,construct,,any,walk:30,berserk (ex);immunity to magic (ex);berserk,7.0
Fleshdreg,aberration,,any ruins,walk:30,sinful bite (su),1.0
Flumph,aberration,,any land;underground,walk:5;fly:20,acid injection (ex);stench spray (ex);stench spray,1.0
Flying Polyp,aberration,air,any,walk:30;fly:60,deflecting winds (su);partial invisibility (su);sucking wind (su);wind blast (su);constrict;sucking wind;wind blast,14.0
Flying Squirrel,animal,,temperate forests,walk:20;fly:40,glide (ex),0.3333333333333333
Fomorian Titan,outsider,chaotic; evil; extraplanar; mythic,any,walk:40,divine resistance (su);divine spell perception (su);bleed;blood rage;mythic power;push;rock throwing;trample,22.0
Foo Dog,outsider,augmented animal; good; extraplanar,any,walk:40,,2.0
Forest Drake,dragon,earth,any forests,walk:30;fly:60;swim:30,acidic cloud (su);aquatic adaptation (ex);speed surge (ex);acidic cloud,4.0
Forlarren,fey,,temperate plains;forests,walk:30,remorse (ex),2.0
Formian Myrmarch,monstrous humanoid,,warm;temperate land;underground,walk:50,inspire hive (su);poison (ex);poison,10.0
Formian Queen,monstrous humanoid,,warm;temperate land;underground,walk:5,hive frenzy (su);telepathic feedback (su);telepathic feedback,17.0
Formian Taskmaster,monstrous humanoid,,warm;temperate land;underground,walk:40,mental motivator (su);poison (ex);poison,7.0
Formian Warrior,monstrous humanoid,,warm;temperate land;underground,walk:40,coordinate (su);deadly grasp (ex);poison (ex);deadly grasp;poison,3.0
Formian Worker,monstrous humanoid,,warm;temperate land;underground,walk:40;burrow:10,able assistant (ex);peerless bearer (ex),0.5
Fossegrim,fey,aquatic,cold;temperate water,walk:30;swim:40,drowning touch (su);enchanting music (su);transparency (su);treasure form (su);drowning touch;enchanting music,4.0
Fossil Golem,construct,,any,walk:30,immunity to magic (su);petrification (su),12.0
Fox,animal,,any,walk:40,,0.25
Freezing Flow,ooze,cold; water,any cold,walk:20;swim:20,crystalline (ex);jagged slam (ex);numbing touch (ex);constrict;jagged slam;numbing touch,4.0
Freshwater Merrow,humanoid,aquatic; giant,temperate lakes;rivers,walk:40;swim:40,,3.0
Froghemoth,aberration,,temperate marsh,walk:20;swim:30,around vision (ex);slowed by electricity (ex);constrict;swallow whole,13.0
Frost Drake,dragon,cold,cold mountains,walk:20;burrow:20;fly:60,freezing mist breath (su);icewalking (ex);speed surge (ex);snow vision (ex);freezing mist breath,7.0
Frost Giant,humanoid,cold; giant,cold mountains,walk:40,rock throwing,9.0
Frost Wight,undead,cold,any,walk:30,cold (su);create spawn(su);resurrection vulnerability (su);create spawn;energy drain,4.0
Frost Worm,magical beast,cold,cold plains;mountains,walk:30;burrow:10,cold (su);death throes (su);trill (su);breath weapon;death throes;trill,12.0
Fuath,fey,aquatic,any water,walk:20;climb:10;swim:30,congeal water (su);vulnerable to sunlight (ex);congeal water,1.0
Fungal Crawler,aberration,,any underground,walk:20;climb:40,leap (ex);plant defenses (ex);poison (ex);leap,3.0
Fungal Nymph,plant,augmented fey,any ruins;underground,walk:20;swim:10,create spawn;poison spore cloud;stunning glance,8.0
Fungus Leshy,plant,leshy; shapechanger,any swamp;underground,walk:20,puffball (ex);spores (ex);spores,2.0
Gaki,undead,,any land,walk:30;fly:30,aversion to sun and moon (ex);compulsive hunger (ex);blood drain;fear cone,7.0
Gallowdead,undead,,any,walk:30,aura of whispers (su);chains of the dead (su);chains of the dead  space 5 ft.;reach 5 ft.,16.0
Galvo,magical beast,aquatic,any water,walk:30;swim:30,eel dart (ex);swarmlike (ex);varied attack (ex),9.0
Gar,animal,aquatic,temperate freshwater,swim:60,,1.0
Garden Ooze,ooze,,temperate forests;marshes;urban,walk:20;climb:20,acid (ex);camouflage (ex);stink (ex);acid;stink,2.0
Gargoyle,monstrous humanoid,earth,any,walk:40;fly:60,freeze (ex),4.0
Garuda,outsider,native,tropical hills;mountains,walk:30;fly:80,hatred (ex);swooping pounce (ex);talon or wing (ex);hatred;swooping pounce;talon or wing,9.0
Gashadokuro,undead,,any,walk:30,breath weapon (su);corpse consumption (su);starvation aura (su);breath weapon;corpse consumption;swallow whole,13.0
Gathlain,fey,,temperate forests;jungles,walk:30;fly:40,,0.5
Gearghost,undead,,any urban;underground,fly:40,create trap (su);rejuvenation (su);resetter (ex),5.0
Geist,undead,incorporeal,any,fly:40,spiritual manipulation (su);terrifying laugh (su);spiritual manipulation;terrifying laughter,9.0
Gelatinous Cube,ooze,,any underground,walk:15,acid (ex);engulf (ex);paralysis (ex);transparent (ex);engulf;paralysis,3.0
Ghaele Azata,outsider,azata; chaotic; extraplanar; good,any,walk:50;fly:150,gaze (su);light form (su);light ray (ex);gaze,13.0
Ghawwas,outsider,aquatic; div; evil; extraplanar,any,walk:30;swim:80,boiling sea (su);poison (ex);rough hide (ex);boiling sea,10.0
Gholdako,undead,,warm coasts,walk:30,blinding breath (su);disease (ex);blinding breath;disease,10.0
Ghonhatine,aberration,,any underground,walk:40,feed (su);filth fever (ex);powerful stench (ex);regurgitate (ex);feed;filth fever,10.0
Ghorazagh,aberration,,any underground,walk:40;climb:40;fly:40,bloodsense (su);bloodspray (su);chemical communication (ex);blood drain;bloodspray,13.0
Ghost,undead,augmented humanoid; incorporeal,any,fly:30,frightful moan,7.0
Ghost Scorpion,vermin,,warm deserts;underground,walk:30,poison (ex);pounce,0.5
Ghoul,undead,,any land,walk:30,disease (su);paralysis,1.0
Ghul,undead,shapechanger,warm deserts,walk:40;climb:20,cursed claws (ex);bleed;cursed claws;rend,5.0
Giant Adult Ant Lion,vermin,,warm deserts,walk:30;fly:60,,6.0
Giant Anaconda,animal,,warm swamps,walk:20;climb:20;swim:20,constrict,10.0
Giant Ant,vermin,,any,walk:50;climb:20,poison (ex),2.0
Giant Ant Lion,vermin,,warm deserts,walk:30;burrow:10,sand trap (ex);sand trap,5.0
Giant Bee,vermin,,temperate;warm plains,walk:20;fly:60,poison (ex);vulnerable to smoke (ex),1.0
Giant Black Widow Spider,vermin,,any land,walk:30;climb:30,poison (ex);strong webs (ex);web,3.0
Giant Centipede,vermin,,temperate;warm forest;underground,walk:40;climb:40,poison (ex);poison,0.5
Giant Chameleon,animal,,warm forests;mountains,walk:40;climb:40,tongue (ex);tongue;pull,3.0
Giant Cockroach,vermin,,any land,walk:30;climb:30;fly:40,,0.5
Giant Crab,vermin,aquatic,any aquatic,walk:30;swim:20,water dependency (ex);constrict,2.0
Giant Crab Spider,vermin,,warm;temperate forests,walk:30;climb:20,poison (ex),0.5
Giant Crawling Hand,undead,,any land;underground,walk:30,mark quarry (su);pus burst (su);mark quarry;pus burst,5.0
Giant Dragonfly,vermin,,temperate;warm land,walk:20;fly:80,darting charge (ex);darting charge,4.0
Giant Dragonfly Nymph,vermin,aquatic,temperate;warm water,walk:10;swim:30,extending jaw (ex);extending jaw,3.0
Giant Eagle,magical beast,,temperate mountains,walk:10;fly:80,,3.0
Giant Emperor Scorpion,vermin,,warm deserts,walk:50;burrow:10,ambush pit (ex);poison (ex);ambush pit;constrict;poison;pounce,11.0
Giant Flea,vermin,,any land;underground,walk:30,disease (ex);uncanny leap (ex);disease,0.5
Giant Fly,vermin,,any temperate;tropical,walk:20;climb:20;fly:60,disease (ex),1.0
Giant Flytrap,plant,,temperate swamps,walk:10,engulf (ex);engulf,10.0
Giant Frilled Lizard,animal,,warm forest;plains;hills,walk:30;climb:30,intimidating charge (ex);intimidating charge,5.0
Giant Frog,animal,,temperate;warm marshes;aquatic,walk:30;swim:30,tongue (ex);pull;swallow whole;tongue,1.0
Giant Gar,animal,aquatic,temperate freshwater,swim:60,swallow whole,6.0
Giant Gecko,animal,,warm forests;mountains,walk:40;climb:40,expert climber (ex),1.0
Giant Jellyfish,vermin,aquatic,any oceans,swim:20,poison (ex),7.0
Giant Leech,vermin,aquatic,temperate;warm marshes,walk:5;swim:20,attach (ex);blood drain (ex);susceptible to salt (ex);blood drain,2.0
Giant Locust,vermin,,temperate;warm deserts;plains,walk:20;climb:20;fly:60,leap (ex);spit (ex);voracious (ex);voracious,3.0
Giant Maggot,vermin,,any temperate;tropical,walk:10;burrow:5,regurgitate (ex);regurgitate,0.5
Giant Mantis,vermin,,temperate forests,walk:30;fly:30,lunge (ex);mandibles (ex);sudden strike (ex);lunge;mandibles;sudden strike,3.0
Giant Moray Eel,animal,aquatic,warm oceans,swim:30,gnaw (ex);gnaw,5.0
